customerID,churn_probability,risk_level,top_reason_1,top_reason_2,top_reason_3,recommended_action,score_date,model_used
7590-VHVEG,0.8412,HIGH,tenure,avg_monthly_spend,fiber_optic_flag,Offer payment flexibility plan or billing credit | Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
5575-GNVDE,0.0992,LOW,fiber_optic_flag,contract_risk_score,no_tech_support,No action required – monitor monthly.,2026-05-26,Logistic Regression
3668-QPYBK,0.5805,MEDIUM,tenure,fiber_optic_flag,contract_risk_score,Offer 12-month contract upgrade with loyalty discount | Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
7795-CFOCW,0.0949,LOW,fiber_optic_flag,MonthlyCharges,tenure,No action required – monitor monthly.,2026-05-26,Logistic Regression
9237-HQITU,0.8969,HIGH,tenure,fiber_optic_flag,contract_risk_score,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
9305-CDSKC,0.9007,HIGH,tenure,fiber_optic_flag,MonthlyCharges,Escalate to tech-support for fibre quality review | Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
1452-KIOVK,0.6662,MEDIUM,fiber_optic_flag,contract_risk_score,MonthlyCharges,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
6713-OKOMC,0.4456,MEDIUM,tenure,fiber_optic_flag,MonthlyCharges,Offer payment flexibility plan or billing credit | Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
7892-POOKP,0.793,HIGH,MonthlyCharges,avg_monthly_spend,fiber_optic_flag,Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
6388-TABGU,0.0469,LOW,tenure,fiber_optic_flag,contract_risk_score,No action required – monitor monthly.,2026-05-26,Logistic Regression
9763-GRSKD,0.3383,LOW,fiber_optic_flag,tenure,contract_risk_score,No action required – monitor monthly.,2026-05-26,Logistic Regression
7469-LKBCI,0.0493,LOW,contract_risk_score,MonthlyCharges,fiber_optic_flag,No action required – monitor monthly.,2026-05-26,Logistic Regression
8091-TTVAX,0.4521,MEDIUM,tenure,fiber_optic_flag,MonthlyCharges,Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
0280-XJGEX,0.7025,HIGH,MonthlyCharges,fiber_optic_flag,avg_monthly_spend,Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
5129-JLPIS,0.6682,MEDIUM,MonthlyCharges,fiber_optic_flag,avg_monthly_spend,Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
3655-SNQYZ,0.0935,LOW,tenure,contract_risk_score,service_count,No action required – monitor monthly.,2026-05-26,Logistic Regression
8191-XWSZG,0.0553,LOW,MonthlyCharges,fiber_optic_flag,service_count,No action required – monitor monthly.,2026-05-26,Logistic Regression
9959-WOFKT,0.117,LOW,tenure,contract_risk_score,MonthlyCharges,No action required – monitor monthly.,2026-05-26,Logistic Regression
4190-MFLUW,0.3056,LOW,tenure,fiber_optic_flag,contract_risk_score,No action required – monitor monthly.,2026-05-26,Logistic Regression
4183-MYFRB,0.7385,HIGH,fiber_optic_flag,contract_risk_score,MonthlyCharges,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
8779-QRDMV,0.9115,HIGH,tenure,fiber_optic_flag,avg_monthly_spend,Offer payment flexibility plan or billing credit | Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
1680-VDCWW,0.1375,LOW,MonthlyCharges,avg_monthly_spend,fiber_optic_flag,No action required – monitor monthly.,2026-05-26,Logistic Regression
1066-JKSGK,0.4201,MEDIUM,tenure,MonthlyCharges,avg_monthly_spend,Offer payment flexibility plan or billing credit | Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
3638-WEABW,0.0536,LOW,contract_risk_score,tenure,fiber_optic_flag,No action required – monitor monthly.,2026-05-26,Logistic Regression
6322-HRPFA,0.1078,LOW,fiber_optic_flag,contract_risk_score,tenure,No action required – monitor monthly.,2026-05-26,Logistic Regression
6865-JZNKO,0.2357,LOW,fiber_optic_flag,contract_risk_score,no_tech_support,No action required – monitor monthly.,2026-05-26,Logistic Regression
6467-CHFZW,0.7157,HIGH,fiber_optic_flag,MonthlyCharges,avg_monthly_spend,Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
8665-UTDHZ,0.7383,HIGH,tenure,avg_monthly_spend,fiber_optic_flag,Offer payment flexibility plan or billing credit | Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
5248-YGIJN,0.0619,LOW,tenure,contract_risk_score,service_count,No action required – monitor monthly.,2026-05-26,Logistic Regression
8773-HHUOZ,0.5058,MEDIUM,fiber_optic_flag,contract_risk_score,tenure,Offer 12-month contract upgrade with loyalty discount | Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
3841-NFECX,0.0814,LOW,tenure,contract_risk_score,fiber_optic_flag,No action required – monitor monthly.,2026-05-26,Logistic Regression
4929-XIHVW,0.9431,HIGH,tenure,fiber_optic_flag,charge_to_tenure_ratio,Escalate to tech-support for fibre quality review | Offer payment flexibility plan or billing credit,2026-05-26,Logistic Regression
6827-IEAUQ,0.0657,LOW,fiber_optic_flag,service_count,contract_risk_score,No action required – monitor monthly.,2026-05-26,Logistic Regression
7310-EGVHZ,0.4202,MEDIUM,tenure,MonthlyCharges,avg_monthly_spend,Offer payment flexibility plan or billing credit | Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
3413-BMNZE,0.7268,HIGH,tenure,fiber_optic_flag,avg_monthly_spend,Offer payment flexibility plan or billing credit | Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
6234-RAAPL,0.0607,LOW,tenure,contract_risk_score,fiber_optic_flag,No action required – monitor monthly.,2026-05-26,Logistic Regression
6047-YHPVI,0.8692,HIGH,tenure,fiber_optic_flag,contract_risk_score,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
6572-ADKRS,0.4443,MEDIUM,fiber_optic_flag,contract_risk_score,tenure,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
5380-WJKOV,0.7928,HIGH,MonthlyCharges,fiber_optic_flag,avg_monthly_spend,Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
8168-UQWWF,0.8455,HIGH,tenure,fiber_optic_flag,MonthlyCharges,Escalate to tech-support for fibre quality review | Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
8865-TNMNX,0.1913,LOW,tenure,fiber_optic_flag,MonthlyCharges,No action required – monitor monthly.,2026-05-26,Logistic Regression
9489-DEDVP,0.0438,LOW,tenure,contract_risk_score,fiber_optic_flag,No action required – monitor monthly.,2026-05-26,Logistic Regression
9867-JCZSP,0.0897,LOW,MonthlyCharges,fiber_optic_flag,service_count,No action required – monitor monthly.,2026-05-26,Logistic Regression
4671-VJLCL,0.047,LOW,contract_risk_score,tenure,service_count,No action required – monitor monthly.,2026-05-26,Logistic Regression
4080-IIARD,0.5228,MEDIUM,fiber_optic_flag,tenure,service_count,Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
